DESCRIPTION	PRICELINE	BASIS	FORMULA	GM-PCT	HITS
3M MVU18-250DMX 22-18 INS MALE	3M	CALCCST	+47.06	55.5%	0
3M O/B-BOXED-PLUS ORG/BLU CONN	3M	CALCCST	+47.06	32.0%	2
3M O/B-JUG ORG/BLU CONN	3M	CALCCST	+47.06	40.0%	49
3M R/Y-BOXED-PLUS RED/YEL CONN	3M	CALCCST	+47.06	32.0%	0
3M R/Y-JUG RED/YEL CONN	3M	CALCCST	+47.06	35.2%	8
3M SCOTCHFIL-1-1/2X60IN INSUL TAPE	3M	CALCCST	+47.06	32.0%	0
3M SCOTCHKOTE FD 15-OZ CAN	3M	CALCCST	+47.06	36.8%	2
3M SWD WRITE-ON TAPE W/DISPENSER	3M	CALCCST	+47.06	32.0%	0
3M UR2(BX) 19-26 BUTT SPLICE CONN	3M	CALCCST	+47.06	32.0%	2
3M WCD-H HAND DRIVER	3M	CALCCST	+47.06	32.0%	0
3M T/R-JUG TAN/RED CONN	3M	CALCCST	+47.06	46.6%	36
3M 1700C-PUR 3/4X66' VINL CODE TAPE	3M	CALCCST	+47.06	41.1%	0
3M 8428-12 CONNECTOR INSULATOR	3M	CALCCST	+47.06	33.5%	0
3M SCOTCHRAP-PRIMER 1-GAL	3M	CALCCST	+47.06	32.0%	0
3M 82-A3 3/0 TO 400MCM SPLICING KIT	3M	CALCCST	+47.06	32.0%	0
3M 130C 1X30FT SPLICING TAPE	3M	CALCCST	+47.06	32.0%	0
3M MVU18-250DFX 22-18 INS FEM DISC	3M	CALCCST	+47.06	32.0%	1
3M 2228-1X10FT RUBBER MASTIC TAPE	3M	CALCCST	+47.06	38.3%	0
3M 24-1X15FT SHIELDING TAPE	3M	CALCCST	+47.06	32.0%	0
3M ITCSN-3000-600	3M	CALCCST	+47.06	32.0%	0
3M MVU18-250DMFX INS MALE/FEM DISC	3M	CALCCST	+47.06	32.0%	0
3M MVU14-250DFX 16-14 INS FEM DISC	3M	CALCCST	+47.06	32.0%	0
3M 85-12 1AWG TO 2/0 SPLICING KIT	3M	CALCCST	+47.06	32.0%	0
3M 557-BOX SELF-STRIP PIGTAIL CON	3M	CALCCST	+47.06	32.0%	0
3M 312-BULK YEL INS WING WIRE CONN	3M	CALCCST	+47.06	32.0%	0
3M MPP+9.5X9.5 MOLDABLE PUTTY PAD	3M	CALCCST	+47.06	35.2%	0
3M 8882-750/F HIGH GEL	3M	CALCCST	+47.06	32.0%	0
3M FB-FOAM-ORANGE FIRE BLOCK FOAM	3M	CALCCST	+47.06	32.0%	2
3M M6-38RX 6 BLU 3/8 RING TERM	3M	CALCCST	+47.06	32.0%	0
3M 82-A2 IN-LINE SPLICE - 2 TO 3/0	3M	CALCCST	+47.06	32.0%	0
3M DBRY-6-KIT DIRECT BURY SPLIC KIT	3M	CALCCST	+47.06	32.0%	1
3M 1700C-BLUE 3/4X66FT VINYL CODE	3M	CALCCST	+47.06	32.0%	0
3M 33+SUPER-3/4X66FT VINYL TAPE	3M	CALCCST	+47.06	32.0%	79
3M MV10-10FBX 12-10 INS FORK TERM	3M	CALCCST	+47.06	13.0%	25
3M MV10-10RX 12-10 INS RING TERM	3M	CALCCST	+47.06	17.6%	6
3M MV18-8R/LX 22-18 INS RING TERM	3M	CALCCST	+47.06	32.0%	0
3M MV18-BCX 22-18 INS BUTT SPLICE	3M	CALCCST	+47.06	32.3%	4
3M SI-1 CABLE STACKER	3M	CALCCST	+47.06	33.6%	103
3M CT4BK18-C 4IN NY BLK CBL TIE	3M	CALCCST	+47.06	43.0%	0
3M CT8BK50-C 8IN NY BLK CBL TIE	3M	CALCCST	+47.06	32.0%	0
3M M8-10R/SX NON INS RING 10/BOTTLE	3M	CALCCST	+47.06	32.0%	0
3M DT-100 FIRE BARRIER SLEEVE KIT	3M	CALCCST	+47.06	32.0%	0
3M DT-200 FIRE BARRIER SLEEVE KIT	3M	CALCCST	+47.06	32.0%	0
3M DT-400 FIRE BARRIER SLEEVE KIT	3M	CALCCST	+47.06	32.0%	0
3M HDCW-35/10-250 HEAT SHRINK WRAP	3M	CALCCST	+47.06	32.0%	0
3M T/Y-JUG TAN/YELLOW CONN	3M	CALCCST	+47.06	0.0%	
3M SLP-SMALL SELF-LOCKING PILLOW	3M	CALCCST	+47.06	37.3%	0
3M UR-BOXED 26-19 SOL BRIDGE CONN	3M	CALCCST	+47.06	32.0%	4
3M Y-BULK YEL INSUL WIRE CONN	3M	CALCCST	+47.06	47.2%	1
3M UB2A-BOXED IDC CONN	3M	CALCCST	+47.06	33.6%	0
3M UY-BOXED 26-22 SOL BRIDGE CONN	3M	CALCCST	+47.06	32.2%	1
3M PLV-WHT-3/8 VINYL TAPE	3M	CALCCST	+47.06	29.9%	0
3M PLV-WHT-3/4 VINYL TAPE	3M	CALCCST	+47.06	32.0%	0
3M 1100 FOAM CORDED EAR PLUGS	3M	CALCCST	+47.06	32.0%	1
3M MV10-38R/SX 12-10 INS RING TERM	3M	.......	......		1
3M MV10-250DFX 12-10 INS FEMALE DIS	3M	CALCCST	+47.06	0.0%	
